iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
FJI,Fiji,45.8,61.7,36.1,48.9,58,59.9,52.5,46.2,89.7,67,3.4,64.9,69.1,73.8,64.4,55,50,5868.1591677839,15046.4668270452
FIN,Finland,73.7,82.2,95.2,88.7,76.3,100,94.2,97.6,67.8,8.2,74.3,88.8,65.5,75.4,79.2,85,80,53755.9117362796,65060.674161832
FRA,France,67.1,65.2,85.9,75.55,62.5,93.1,73.7,84.2,53.1,0,6.9,82,60.5,71.6,79.2,75,70,44460.8178457009,61156.7728192566
GAB,Gabon,53.1,30.6,34.1,32.35,56.9,26.7,23.7,19.4,77.4,90.8,92.5,63.5,54.8,78.6,55.2,60,40,8420.10205701827,21946.990852956
GMB,Gambia,37.1,46.9,24.9,35.9,58.2,55.3,36.2,45.4,79.3,84.3,62.5,49,47.6,60,64.4,65,50,843.765742570282,3162.50679759518
GEO,Georgia,46.9,34.5,70.6,52.55,68.4,53.3,61.1,54.8,89.1,69.6,39.9,74.4,63,69.3,86.4,80,80,8120.36344318242,24681.2505951416
DEU,Germany,74.6,66.9,97.9,82.4,72.1,95.3,86,93,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80,70,52745.7557064131,69338.2932264467
GHA,Ghana,36.6,32.4,27.4,29.9,55.8,50.1,43.9,57.3,79.5,75.5,2.9,52.9,55.7,58.6,63,70,60,2238.15802077213,7466.36688860441
GRC,Greece,67.4,53.8,92,72.9,55.1,76.9,55.2,69.9,60.6,3.4,5.6,73.9,62.8,68.9,79.2,55,50,22990.0135680461,41186.8122027894
GRD,Grenada,46,74.4,55.2,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10463.64593954,17654.0976880677
GTM,Guatemala,32.6,20.1,31.4,25.75,62.4,38.8,22.8,27.9,91.3,93.7,87.5,66.4,50.4,74.6,75,70,50,5797.52159594526,14066.5117902708
GIN,Guinea,36.2,36.8,20.1,28.45,53.3,21.7,23.9,26.7,70.1,92.7,92.2,44.9,48.8,69,59.4,50,40,1663.93780748118,4429.34356555152
GNB,Guinea-Bissau,41.6,42.9,19.8,31.35,42.7,26.5,19.3,14.7,88.9,83.1,7.1,32.4,55,74.2,50.6,30,30,914.275153804104,2630.29254019462
GUY,Guyana,48.6,65.4,42.2,53.8,57.3,46.8,39.2,48.3,74.9,80.2,25.8,70.9,76.7,75.5,64.4,55,30,20626.1991490567,55262.524834363
HTI,Haiti,36.2,25,18.1,21.55,48.2,12,12.5,17.5,81.7,97.5,89.9,32.4,55.1,53.8,66.4,30,30,1693.06874328693,3255.53774561512
HND,Honduras,40.2,18.7,37.8,28.25,58.6,37.5,21.3,27.7,83,78.6,88.8,64.5,38.7,67.7,70.4,65,60,3247.23105462683,7210.68927751264
HUN,Hungary,60.1,38.7,74,56.35,61.2,69.6,44.3,63,85.4,27.7,11.5,73.5,62,68.8,79.2,80,70,22147.2097290479,45942.1694906822
ISL,Iceland,64.3,89.7,95.2,92.45,70.5,96.5,83.7,95.3,73.6,26.3,10.5,87.4,68,73.4,80.8,80,70,78811.0583922693,77567.1918125746
IND,India,27.6,6.8,25.6,16.2,52.9,49.2,40.8,52.1,73.7,73.5,6.9,68.3,58.4,69.1,62.2,40,40,2484.8454294403,10175.767974032
IDN,Indonesia,33.8,22.8,33.4,28.1,63.5,39.2,38.6,44.5,81.7,90.2,66.8,73.1,59.5,78.4,79.6,50,60,4940.54980501156,15612.799123652
IRN,Iran,41.6,36.9,65.6,51.25,41.2,23.8,17.1,18.8,81.1,95.3,62.5,37.9,48.8,38.2,55.8,5,10,4502.5463291805,17921.6642684608
IRQ,Iraq,30.4,27.7,57.7,42.7,N/A,14.8,18.3,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5512.47571978422,13968.5741651209
IRL,Ireland,65.7,76.8,88.4,82.6,82.6,93.5,83.4,94.3,78,82.4,91.7,91.3,62.8,74.5,79.2,90,70,103684.880801837,127623.394432086
ISR,Israel,48.1,53.7,80.2,66.95,70.1,82.1,65.5,84.4,59.3,50.7,58.6,80.8,58,78.4,83,70,70,52261.6761509633,53433.9963916065
ITA,Italy,60.5,52.3,98.2,75.25,60.1,81.6,60.7,77.7,57,2.5,0,77.6,70.7,74.1,79.2,80,60,38373.1660497534,58754.9078778721
JAM,Jamaica,48.5,35.8,53.8,44.8,68.1,66.1,48.4,69.7,77,71.5,87.5,69.9,64.9,71.2,71.6,70,50,6874.20028399387,11475.0057352718
JPN,Japan,61.7,59.9,78.7,69.3,67.5,94.6,82.6,93.6,63.3,42.5,0,77.5,68.6,81.7,75.8,70,60,33834.3921056453,50206.6091580009
JOR,Jordan,47.5,42.9,64.3,53.6,58.3,54,48.4,43.4,84.4,67.8,2.3,62.8,56.5,78.7,71.4,70,60,4482.08602630337,10451.9125884746
KAZ,Kazakhstan,47.5,44.5,73.1,58.8,62,54.1,36.5,33.8,92.6,84.4,73.7,69.7,62.6,62.6,74.6,50,50,13136.6229097144,39332.4700204154
KEN,Kenya,36.9,25,21.2,23.1,53.6,40.8,31,47.7,79.7,82.8,11.1,57.7,57.3,73.2,57.2,55,50,1949.89896909713,6323.53360078914
KIR,Kiribati,44.1,54.5,21.6,38.05,51.3,73.2,49,66.7,70.7,0,19.5,60.9,58.4,76.9,80,30,30,2089.91016071918,3521.74542032784
KWT,Kuwait,44.9,41.5,76.5,59,58.5,42.1,41.9,41.4,97.7,11.3,100,56.2,53,67.9,75.6,55,60,37533.2177177327,56386.2943252867
