iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
PAN,Panama,52.9,57.5,49.1,53.3,64.1,56.9,37.2,51.2,85.9,82.6,21.1,73.6,61.6,75.1,78.4,75,70,18661.7673290605,39695.0819584697
PNG,Papua New Guinea,36.5,40,21.2,30.6,49.4,42.9,28.7,43.6,71.9,84.8,17.2,34.9,64.9,70.8,77.8,25,30,2994.4533269188,4607.38149706558
PRY,Paraguay,39,33.6,56.7,45.15,60.1,45,27.3,37.2,96,81.6,46.4,69,39.8,67.3,77.2,75,60,6260.45519099666,17465.8609710395
PER,Peru,46.6,26.6,55.1,40.85,64.8,44.9,36.3,48.2,79.1,81.8,67.8,69.5,59.3,74,81.4,75,60,7789.87097514036,16717.3831036941
PHL,Philippines,32,22.8,42.7,32.75,59,46.1,33.8,42.2,78.2,79.2,40.5,69.7,57.8,65.8,74.4,60,60,3725.55120488081,10755.49885154
POL,Poland,64.4,38.5,80.7,59.6,66,72,58.3,52.2,72.6,38.5,67.4,74.6,58,68.9,79.2,80,70,22112.861574706,49463.9911694249
PRT,Portugal,62.2,61.1,94.4,77.75,68.7,89.4,65.5,90.6,59.8,33,65.2,79.3,57.6,75,79.2,70,60,27275.1115544691,48758.8570221636
QAT,Qatar,47.2,42.4,75.1,58.75,68.8,70.4,51.7,41.5,99.7,74,96.4,66.1,52.5,72.2,81.6,60,60,NA,NA
COG,Republic of Congo,41.2,12.2,24.4,18.3,47.8,30,12.7,13.8,75.5,86,82.9,35.9,42.3,79.8,49.6,35,30,2508.82339515164,6932.93820935238
ROU,Romania,57.2,39.4,68.5,53.95,64.4,81,47.6,65.8,93.9,58,14.9,74.6,68.2,69.3,79.2,70,50,18419.4187120644,47903.341148649
RUS,Russia,46.5,50.5,73.8,62.15,52,20.9,25.9,32.1,89.8,59.7,95.6,54.4,57.4,58.9,69.4,30,30,13817.0458984375,44103.546875
RWA,Rwanda,33.4,8.5,24.6,16.55,51.6,62,51.5,26.9,79.1,70.1,12.5,53.6,39.5,69.8,53.8,60,40,1000.21892281433,3361.10580565545
LCA,Saint Lucia,51,73.7,53.8,63.75,62.2,67.2,58.4,74.4,77.3,76.8,28.8,69.5,57.9,75.9,60,60,40,13980.0940828315,25128.6996785115
VCT,Saint Vincent and the Grenadines,54.1,74.1,51.7,62.9,59.8,66.7,62.3,77.3,76.3,61.1,4.5,65.4,59.6,77,57.8,70,40,10279.4939435955,19875.6891739928
